data,snowmelt,pet,precipitation,surface_sensible_heat_flux,snowfall,temperature,u_component_of_wind,v_component_of_wind,runoff
1994年9月,7.41E-04,1000.790414,31.71783013,-86.18766283,8.17E-04,11.57582221,2.106752984,0.27593144,
1994年10月,6.389719057,520.4177724,27.24101499,-40.92569062,8.444884954,1.958947945,2.623317512,-0.165143676,
1994年11月,2.016138863,0,7.859936071,-14.7262886,7.120920975,-3.022180434,2.409206083,0.907045587,
1994年12月,0.001103591,0,9.060766413,-4.952480634,8.979105417,-17.17252493,2.854154515,0.591197862,
1995年1月,0,0,4.773941184,7.192548477,4.686237932,-18.34401251,3.821818577,-0.05500567,
1995年2月,1.658853351,0,4.495971271,-36.11890295,4.413088958,-13.88326915,1.556439081,-0.371664159,
1995年3月,7.176245406,0,18.12658689,-85.8390712,15.2615683,-5.355996564,2.443941255,-0.338108641,
1995年4月,8.07937567,895.1510253,18.21036546,-107.9474954,9.943667523,2.452016838,4.146849569,-0.241207172,
1995年5月,1.038434842,1548.970696,21.9727618,-155.7662552,1.448299608,9.6598351,2.857697017,-0.726185723,
1995年6月,0.008973252,1496.433341,57.56761101,-115.3193248,0,18.5234874,0.470518768,0.639145506,
1995年7月,2.47E-05,1425.063144,79.74215774,-89.64826552,0,20.59222972,0.337244554,1.183058038,
1995年8月,1.69E-05,1206.551942,91.70437818,-64.13835845,0,18.75783804,0.007869509,1.115647199,
1995年9月,5.432919626,920.3907358,34.73014977,-83.70716108,5.536001389,11.67166375,1.516324375,0.340634634,
1995年10月,7.734927634,565.8963731,82.89049019,-31.58543146,13.38280808,3.093281567,2.258101153,0.323455253,
1995年11月,2.786526444,0,3.636204236,-16.03339128,3.56606293,-5.541204003,3.399588596,-0.376729963,
1995年12月,0.010565205,0,7.578691384,-10.49695764,7.507618258,-14.77479264,2.763301939,-0.270782314,
1996年1月,0,0,7.089111701,10.21510807,7.027344009,-19.56068037,3.345194279,0.002841916,
1996年2月,0.596270224,0,3.183289955,-41.41315655,3.128489952,-16.19344995,3.082827014,-0.942694797,
1996年3月,8.676340926,0,20.8732003,-52.89575897,20.74207859,-8.12585595,2.321824866,-0.327775384,
1996年4月,6.43890745,1021.111283,16.00747111,-78.99435135,10.4163791,2.622333764,3.087304572,-0.393706138,
